,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,802,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-30T07:07:00.000Z,2.398677897239097e-05,510932773.44082576,22.6879,0.12038218,2.41192026,-10.36251599,-21.27867154,87.06029583,163.64040658,14135154847.93452,0.6048,14141023829.36,,2024-04-30T07:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-30 07:08:52.264612
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,379121456.0169357,437811096.0169357,False,,12,,,,2024-04-30T07:07:00.000Z,34.899129999586,456824980.94974875,71.0454,0.39325098,5.31974797,-9.60176838,-35.4245006,-17.86272656,0.46158187,13231008979.167366,0.5662,24979007591.42,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87550182542.83185,87550189239.80847,True,,13,71659659264.0,8634565863.402685,,2024-04-30T07:07:00.000Z,0.12049409601003325,345567464.4814217,29.7425,0.37019132,0.63272018,7.26896434,-1.61352737,-14.61128833,6.938897,10549280101.011917,0.4515,10549280907.96,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
13,6636,Polkadot,DOT,polkadot-new,753,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,,,,2024-04-30T07:08:00.000Z,6.591932545684531,165471747.23520422,22.0031,0.29084604,0.29981669,-11.09502205,-30.91941862,-21.75488251,-3.54676642,9478892023.414482,0.4056,9478892023.41,,2024-04-30T07:08:00.000Z,,,,,,2024-04-30 07:08:52.264612
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19699109.375,19699109.375,False,,15,,,,2024-04-30T07:07:00.000Z,464.5083909231571,302946954.5917113,12.0543,0.79118775,2.1963943,-9.16360978,-21.71453944,47.47968969,96.54744663,9150401598.400528,0.3915,9754676209.39,,2024-04-30T07:07:00.000Z,,,,,,2024-04-30 07:08:52.264612
0,1,Bitcoin,BTC,bitcoin,11018,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19692106.0,19692106.0,False,,1,,,,2024-04-30T07:38:00.000Z,63399.389575056055,25131339635.41125,22.265,0.00928403,1.82894058,-4.15180424,-9.73675634,3.0945433,47.39587267,1248467499847.2988,53.4819,1331387181076.18,,2024-04-30T07:38:00.000Z,,,,,,2024-04-30 07:38:52.853575
1,1027,Ethereum,ETH,ethereum,8880,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122056395.21775669,122056395.21775669,True,,2,,,,2024-04-30T07:37:00.000Z,3167.2883051964295,12783868362.042917,-2.3055,-0.12802051,-0.47629559,0.35664185,-12.51708851,-6.06233917,35.43261255,386587793147.63416,16.576,386587793147.63,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
2,825,Tether USDt,USDT,tether,84380,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110643229581.36777,113086550461.5959,True,,3,,,,2024-04-30T07:37:00.000Z,1.0000042963226377,46703177530.55668,14.5068,0.02068627,0.00672939,-0.05197437,-0.01024695,-0.03044159,0.03510465,110643704940.37971,4.7441,113087036317.9,,2024-04-30T07:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-30 07:38:52.853575
3,1839,BNB,BNB,bnb,2153,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587846.82669172,147587846.82669172,False,,4,,,,2024-04-30T07:37:00.000Z,602.3188597341122,875820482.1599354,7.4443,-0.01115201,2.66586389,0.39310397,-0.71734085,49.12779854,96.36176102,88894943611.26576,3.8116,88894943611.27,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447321591.9639788,574911541.7557379,True,,5,,,,2024-04-30T07:37:00.000Z,135.70662517049047,2529788322.615045,25.7896,-0.06637113,0.6566529,-11.51191236,-30.65218054,1.98938916,34.32388302,60704503611.322754,2.6029,78019305103.23,,2024-04-30T07:37:00.000Z,,,,,,2024-04-30 07:38:52.853575
